"partnerId","violation","violation_count"
"15047","UnknownCurrency","2332894"
"15579","UnknownCurrency","951485"
"15871","EmptyDataReceived","601549"
"15754","BadCpm","407492"
"15605","EmptyDataReceived","252440"
"15002","InvalidIp","238381"
"15750","BadCpm","135267"
"15899","UnknownCurrency","133017"
,"PartnerIsNull","131398"
,"MissingImpressionsCountParamRequest","131326"
,"EmptyDataReceived","131324"
"15905","EmptyDataReceived","100947"
"15945","EmptyDataReceived","70223"
"15857","BadCpm","25120"
"15617","UnknownCurrency","17423"
"15391","BadCpm","14224"
"15127","BadCpm","6638"
"15944","BadCpm","6189"
"15819","MissingCpm","4945"
"15605","InvalidIp","3175"
,"UnsupportedHttpMethod","2402"
"15827","FailedConvertPayloadToJson","2044"
"15579","BadCpm","1591"
"15750","InternalServerError","1097"
"15389","UnsupportedHttpMethod","734"
"15605","FailedConvertPayloadToJson","618"
"15287","BadCpm","441"
"15605","ABIdentifiersAreBothMissing","406"
"15822","InternalServerError","355"
"15400","UnknownCurrency","348"
"15281","InternalServerError","157"
"15927","BadCpm","149"
"15930","BadCpm","102"
"15804","BadCpm","98"
"15814","MissingCurrency","91"
"15814","InternalServerError","89"
"15946","UnsupportedHttpMethod","84"
"15867","BadCpm","74"
"15905","InvalidIp","73"
"15855","InvalidIp","72"
"15047","BadCpm","70"
"15867","InvalidIp","67"
"15871","InvalidIp","56"
"15824","InternalServerError","54"
"15283","UnsupportedHttpMethod","51"
"15579","UnsupportedHttpMethod","43"
"15827","InvalidIp","41"
"15318","InternalServerError","40"
,"FailedToConvertPayloadToJsonArray","40"
"15809","InternalServerError","38"
"15899","BadCpm","34"
"15831","InternalServerError","23"
"15905","ABIdentifiersAreBothMissing","22"
"15195","UnknownCurrency","20"
"15864","FailedConvertPayloadToJson","18"
"15958","MissingCpm","16"
"15617","BadCpm","16"
"15381","BadCpm","15"
"15696","InternalServerError","14"
"15871","FailedConvertPayloadToJson","12"
"15002","FailedConvertPayloadToJson","12"
"15882","InternalServerError","11"
"15927","InternalServerError","9"
"15127","FailedToConvertPayloadToJsonArray","9"
"15047","UnsupportedHttpMethod","7"
"15579","FailedToConvertPayloadToJsonArray","7"
"15283","InternalServerError","6"
"15958","InternalServerError","6"
"15754","InternalServerError","5"
"15072","FailedToConvertPayloadToJsonArray","5"
"15814","FailedToConvertPayloadToJsonArray","5"
"15281","FailedToConvertPayloadToJsonArray","3"
"15381","FailedToConvertPayloadToJsonArray","3"
"15281","BadCpm","3"
"15804","UnsupportedHttpMethod","3"
"15195","FailedToConvertPayloadToJsonArray","3"
"15871","ABIdentifiersAreBothMissing","3"
"15623","BadCpm","3"
"15905","FailedConvertPayloadToJson","3"
"15398","FailedToConvertPayloadToJsonArray","3"
"15855","FailedConvertPayloadToJson","3"
"15804","FailedToConvertPayloadToJsonArray","3"
"15391","FailedToConvertPayloadToJsonArray","3"
"15814","UnsupportedHttpMethod","2"
"15899","InternalServerError","2"
"15822","FailedToConvertPayloadToJsonArray","2"
"15283","UnknownCurrency","2"
"15400","FailedToConvertPayloadToJsonArray","2"
"15318","FailedToConvertPayloadToJsonArray","2"
"15318","UnsupportedHttpMethod","2"
"15903","InternalServerError","1"
"15812","BadCpm","1"
"15897","InternalServerError","1"
"15864","ABIdentifiersAreBothMissing","1"
"15605","BadCpm","1"
"15754","FailedToConvertPayloadToJsonArray","1"
"15822","UnsupportedHttpMethod","1"
"15579","EmptyDataReceived","1"
"15696","EmptyDataReceived","1"
