partnerId,dummyId,impressions_count,violation_count,bad_from_total_in_percentage
15047,350115424,5667788,3510329,38.25%
15617,505173155,198112707,1429772,0.72%
15899,505291636,16994722,314781,1.82%
15871,1502523118,26804839,302251,1.12%
15002,257925435,4944534,292404,5.58%
15605,1138790710,34808391,255122,0.73%
15750,1667218454,7619270,143461,1.85%
15579,396660830,16127379,77999,0.48%
15905,993657620,1431851,31510,2.15%
15857,1088554917,8988533,16669,0.19%
15945,919478749,1601867,12312,0.76%
15391,2021295331,4382756,11680,0.27%
15754,1366563817,15096074,8895,0.06%
15127,1181347726,16410886,5110,0.03%
15819,1395869472,10265,4197,29.02%
15944,2146599096,3443,2336,40.42%
15400,518755434,10360798,1696,0.02%
15979,1096233217,2103689,1646,0.08%
15927,1562739929,376744,1524,0.40%
15822,533113370,18540593,633,0.00%
15814,786374107,18291969,625,0.00%
15281,1721969090,24710113,316,0.00%
15072,1434517136,7191742,229,0.00%
15867,22947115,16276151,140,0.00%
15804,646878986,6545055,97,0.00%
15283,2072952453,2705433,67,0.00%
15930,600996285,58162831,61,0.00%
15389,1749699717,3858940,58,0.00%
15831,1589173297,1440089,45,0.00%
15623,1305922516,38377500,43,0.00%
15824,782963570,617186,41,0.01%
15958,591569734,1872167,36,0.00%
15287,537782190,23143,33,0.14%
15855,1253044917,76628,29,0.04%
15882,1849287162,4065456,21,0.00%
15864,22692143,15818857,21,0.00%
15903,551417214,3587404,17,0.00%
15195,1187275693,4794198,15,0.00%
15381,799485942,1991741,15,0.00%
15792,753574114,2830131,14,0.00%
15696,1999219954,4090695,11,0.00%
15318,1554344111,9233143,10,0.00%
15809,39758047,365735,7,0.00%
15943,194336586,133352,5,0.00%
15948,53881384,15099173,2,0.00%
15672,919696211,11917256,1,0.00%
15862,1868846730,686217,1,0.00%
15410,13566750,39316,nan,nan
15916,16883654,132,nan,nan
15380,18968884,864,nan,nan
15926,20030764,689353,nan,nan
15668,27186103,82537,nan,nan
15713,69849995,9834,nan,nan
15969,95728119,33544,nan,nan
15154,119841128,7646498,nan,nan
15629,156278137,2850459,nan,nan
15729,195191772,271,nan,nan
15658,236396924,192628,nan,nan
15739,238256392,6907906,nan,nan
16000,251179893,31468,nan,nan
15946,258403375,365553,nan,nan
15783,263210415,417924,nan,nan
15036,265215013,582688,nan,nan
15680,288563991,336811,nan,nan
15162,298684257,8337542,nan,nan
15853,299219427,77161,nan,nan
15959,319398028,20343,nan,nan
15572,380216834,961,nan,nan
15607,390912691,13161911,nan,nan
15869,391964037,405160,nan,nan
15772,424127213,1497,nan,nan
15827,427631917,32700,nan,nan
15947,435608212,52727,nan,nan
15075,440659464,24895,nan,nan
15353,448154759,54,nan,nan
15121,448194519,4485905,nan,nan
15812,456059511,5912165,nan,nan
15277,475690132,571,nan,nan
15817,523965119,1575,nan,nan
15113,564279206,8781,nan,nan
15956,590866553,17962,nan,nan
15299,612283370,632982,nan,nan
15962,631911194,9,nan,nan
15328,703835782,141,nan,nan
15399,719510843,1744851,nan,nan
15907,751713662,21868,nan,nan
15313,769982755,5949526,nan,nan
15813,811947878,146654,nan,nan
15753,813285183,3,nan,nan
10278,853540438,2177537,nan,nan
15717,858577937,3016407,nan,nan
15802,862757599,1983904,nan,nan
15398,890910414,4947256,nan,nan
15305,898318490,131,nan,nan
15378,928824960,3097,nan,nan
15929,930924937,343,nan,nan
15703,955429704,1733602,nan,nan
15688,974061330,262,nan,nan
15194,975983863,1,nan,nan
15601,986338370,38607,nan,nan
15874,1031540622,3495,nan,nan
15296,1061550106,91101,nan,nan
15310,1161350937,510800,nan,nan
15622,1176121827,8,nan,nan
15796,1190733412,105730,nan,nan
15709,1348764643,1927,nan,nan
15799,1398453148,1088548,nan,nan
15711,1439597579,97037,nan,nan
16001,1466941855,156107,nan,nan
15326,1550019134,236200,nan,nan
15876,1641699010,1465185,nan,nan
15897,1671643699,5519626,nan,nan
15906,1684426694,53587,nan,nan
15910,1688538171,220761,nan,nan
15953,1769707073,23888,nan,nan
15604,1772349754,38156,nan,nan
15691,1796286805,85,nan,nan
16002,1802695038,190582,nan,nan
15797,1865457435,3,nan,nan
15301,1868737718,485,nan,nan
15578,1874655701,5,nan,nan
15960,1891055340,1266186,nan,nan
15268,1898073181,4,nan,nan
15659,1912975380,145515,nan,nan
15915,1976119446,157,nan,nan
15206,1978660482,5,nan,nan
15777,1995923215,1091016,nan,nan
15304,2003840872,155,nan,nan
15236,2027192254,2695,nan,nan
15757,2073339254,4,nan,nan
15348,2087121874,15121507,nan,nan
15756,2103095921,274532,nan,nan
15800,2144359602,162299,nan,nan
